openexr 3.1.5-1
openjpeg2 2.5.0-1
openmpi 4.1.4-1
openpmix 4.1.2-1
openssh 9.0p1-1
openssl 1.1.1.p-1
optipng 0.7.7-2
opus 1.3.1-3
orc 0.4.32-1
osinfo-db 20220516-1
otf-font-awesome 6.1.1-1
p11-kit 0.24.1-1
p7zip 1:17.04-3
p8-platform 2.1.0.1-4
pacman 6.0.1-5
pacman-contrib 1.6.0-1
pacman-mirrorlist 20220605-1
pahole 1.23-1
pam 1.5.2-1
pambase 20211210-1
pamixer 1.6-2
pango 1:1.50.8-1
parted 3.5-1
pass 1.7.4-2
pass-otp 1.2.0-2
patch 2.7.6-8
pciutils 3.8.0-2
pcmanfm 1.3.2-1
pcre 8.45-1
pcre2 10.40-1
pcsclite 1.9.8-1
perl 5.36.0-1
perl-error 0.17029-4
perl-libintl-perl 1.32-3
perl-mailtools 2.21-6
perl-timedate 2.33-4
phodav 2.5-2
pinentry 1.2.0-1
pipewire 1:0.3.53-2
pixman 0.40.0-2
pkgconf 1.8.0-1
podofo 0.9.8-1
polkit 0.120-5
polkit-qt5 0.114.0-1
poppler 22.06.0-1
poppler-data 0.4.11-1
poppler-glib 22.06.0-1
poppler-qt5 22.06.0-1
popt 1.18-3
portaudio 1:19.7.0-1
procps-ng 3.3.17-1
psmisc 23.5-1
pugixml 1.12.1-1
pulseaudio 16.1-1
pulseaudio-alsa 1:1.2.7.1-1
pulseaudio-bluetooth 16.1-1
pulseaudio-qt 1.3-1
pulsemixer 1.5.1-3
purpose 5.95.0-1
pycharm-community-edition 2022.1.3-1
python 3.10.5-1
python-anytree 2.8.0-5
python-appdirs 1.4.4-6
python-apsw 3.38.5-1
python-attrs 21.4.0-1
python-beaker 1.11.0-8
python-beautifulsoup4 4.10.0-1
python-brotlicffi 1.0.9.2-3
python-cachecontrol 1:0.12.6-4
python-cairo 1.21.0-1
python-cchardet 2.1.7-4
python-certifi 2022.06.15-1
python-cffi 1.15.1-1
python-chardet 4.0.0-5
python-colorama 0.4.5-1
python-commonmark 0.9.1-5
python-contextlib2 21.6.0-1
python-cryptography 37.0.2-1
python-css-parser 1.0.7-1
python-cssselect 1.1.0-9
python-dateutil 2.8.2-4
python-distlib 0.3.4-1
python-distro 1.7.0-1
python-dnspython 1:2.2.1-1
python-docopt 0.6.2-11
python-docutils 1:0.18.1-1
python-feedparser 6.0.3-1
python-future 0.18.2-7
python-gobject 3.42.1-1
python-html2text 2020.1.16-5
python-html5-parser 0.4.10-3
python-html5lib 1.1-11
python-idna 3.3-4
python-ifaddr 0.2.0-1
python-importlib-metadata 4.8.1-3
python-jaraco.context 4.1.1-2
python-jaraco.functools 3.5.0-2
python-jaraco.text 3.8.0-2
python-jeepney 0.7.1-3
python-jinja 1:3.1.2-1
python-lxml 4.9.0-1
python-mako 1.1.6-3
python-markdown 3.3.7-1
python-markupsafe 2.1.1-1
python-mechanize 1:0.4.8-1
python-more-itertools 8.13.0-1
python-msgpack 1.0.3-1
python-multivolumefile 0.2.3-3
python-netifaces 0.11.0-3
python-nspektr 0.4.0-1
python-ordered-set 4.0.2-6
python-packaging 21.3-1
python-pep517 0.12.0-4
python-pillow 9.2.0-1
python-pip 22.1.2-1
python-platformdirs 2.5.1-1
python-ply 3.11-10
python-progress 1.6-5
python-psutil 5.9.1-1
python-py7zr 0.18.5-1
python-pyalsa 1.2.7-1
python-pychm 0.8.6-6
python-pycparser 2.21-3
python-pycryptodomex 3.12.0-1
python-pygments 2.12.0-1
python-pyopenssl 22.0.0-1
python-pyparsing 3.0.9-1
python-pyppmd 0.18.2-1
python-pyqt5 5.15.7-1
python-pyqt5-sip 12.11.0-1
python-pyqt5-webengine 5.15.6-1
python-pywal 3.3.0-5
python-pyzstd 0.15.2-1
python-regex 2022.6.2-1
python-requests 2.27.1-1
python-resolvelib 0.8.1-1
python-retrying 1.3.3-13
python-rich 12.4.4-1
python-setuptools 1:61.3.1-1
python-sgmllib3k 1.0.0-4
python-shtab 1.5.5-1
python-simplejson 3.17.6-3
python-six 1.16.0-5
python-soupsieve 2.3.1-1
python-tenacity 8.0.1-3
python-termcolor 1.1.0-12
python-texttable 1.6.4-3
python-toml 0.10.2-7
python-tomli 2.0.1-1
python-trove-classifiers 2022.6.26-1
python-typing_extensions 4.2.0-1
python-unrardll 0.1.5-1
python-urllib3 1.26.9-1
python-validate-pyproject 0.9-1
python-webencodings 0.5.1-9
python-wheel 0.37.1-1
python-xlib 0.31-3
python-yaml 6.0-1
python-zeroconf 0.38.5-1
